v1 fo4 fo10
v2 fo29 fo5
v3 fo36 f4
v4 fo16 f8
v5 fo5 f4
v6 fo34 f4
v7 fo2 fo31
v8 fo16 f8
v9 fo36 f4
v10 fo27 f8
v11 fo21 f1
co1 fo30 fo38
co2 fo29 fo5
co3 fo3 f5
co4 f3 f10
co5 fo32 fo30
co6 fo27 f7
co7 fo18 fo13
co8 f9 fo3
co9 f9 fo23
co10 fo32 fo30
co11 fo6 fo36
co12 fo15 f3
co13 fo22 f3
co14 fo22 f3
co15 f3 fo34
co16 fo36 f4
co17 fo23 f1
co18 f9 fo3
co19 f1 fo20
co20 f1 fo4
co21 fo22 fo26
co22 f1 f4
co23 f9 fo31
co24 fo36 f4
co25 fo27 f8
co26 f9 fo3
co27 fo17 f6
co28 f9 fo34
co29 fo33 f4
co30 fo12 f1
co31 fo31 fo21
co32 fo31 fo21
co33 fo12 f1
co34 f1 f4
co35 f2 f1
co36 fo32 fo30
co37 fo8 fo2
co38 f9 f1
co39 fo12 f7
co40 f9 f1
co41 fo31 fo21
co42 f1 fo20
co43 fo32 fo30
co44 fo21 f1
co45 fo3 f5
co46 fo32 fo30
