v1 f14 fo59
v2 fo1 f7
v3 fo45 f10
v4 fo13 f10
v5 f1 f10
v6 fo24 fo56
v7 fo61 fo11
v8 fo55 f11
v9 f16 f3
v10 fo53 fo21
v11 fo33 f11
v12 fo39 f18
v13 fo12 fo52
v14 fo44 f15
v15 fo46 f1
v16 fo28 fo58
v17 fo21 fo50
v18 fo46 f1
v19 fo10 f17
v20 fo46 f1
v21 fo41 f18
v22 f4 f13
v23 fo26 f12
v24 fo41 f18
v25 f8 fo41
v26 fo19 fo65
v27 fo49 fo58
v28 fo44 f15
v29 fo64 fo1
v30 f16 f3
v31 fo42 fo28
v32 fo47 fo33
v33 f12 fo23
v34 fo57 f19
v35 fo66 fo9
v36 fo20 fo34
v37 fo1 f7
v38 fo65 f17
v39 fo55 f11
v40 fo45 f10
v41 fo29 fo49
v42 fo32 f3
v43 fo42 fo28
v44 fo51 fo15
v45 fo22 fo17
v46 f16 fo37
co1 fo51 fo15
co2 fo11 fo41
