v1 fo16 f7
v2 f3 fo19
v3 f7 f34
v4 fo3 fo2
v5 fo3 fo2
v6 f19 f36
v7 f30 f8
v8 fo10 f6
v9 f10 f31
v10 f39 fo12
v11 fo11 fo12
v12 f14 f22
v13 f20 f12
v14 f19 f36
v15 f3 fo19
v16 f20 f12
v17 fo9 fo1
v18 fo7 fo3
v19 fo6 fo10
v20 f24 fo12
v21 f1 fo11
v22 f40 fo10
v23 f1 fo11
v24 f39 fo12
v25 f32 f23
v26 f40 fo10
v27 fo13 f5
v28 f20 f12
v29 f12 fo19
v30 f15 f16
v31 fo3 fo2
v32 fo11 fo12
v33 f2 fo3
v34 fo3 fo2
v35 f1 fo11
v36 fo7 fo3
v37 f13 fo12
v38 f20 f12
v39 f25 f19
v40 fo15 fo7
v41 f22 f27
v42 f24 fo12
v43 f35 f27
v44 fo11 fo12
co1 fo2 f23
