v1 f8 f6
v2 f3 f9
v3 f4 fo1
v4 f14 fo3
v5 fo3 f11
v6 f14 fo3
v7 f3 f9
v8 fo2 fo3
v9 f12 fo3
v10 f4 f1
v11 f7 f14
v12 f9 f11
v13 f6 f13
v14 fo2 f7
v15 f15 f4
v16 f4 fo1
v17 f10 fo3
v18 f5 f7
v19 f4 f1
v20 f10 fo3
v21 f10 fo3
v22 f9 f11
v23 f4 fo1
v24 f12 fo3
v25 f7 f14
v26 fo2 fo3
v27 f2 fo2
v28 f9 f11
v29 f7 f14
v30 f4 fo1
v31 f10 fo3
v32 f3 f9
v33 f9 fo3
v34 f15 f4
v35 f13 fo1
v36 f7 f14
v37 f11 f4
v38 f4 fo1
v39 f10 fo3
v40 f15 f4
v41 fo2 fo3
v42 f2 fo2
v43 f4 fo1
v44 f7 fo1
v45 f12 fo3
v46 f10 fo3
co1 f10 fo3
co2 f7 fo1
co3 f15 f4
co4 f7 f14
co5 f12 fo3
co6 f7 fo1
co7 fo3 f11
co8 f12 fo3
co9 f9 fo3
co10 f5 f7
co11 fo2 f7
co12 f15 f4
co13 f9 f11
co14 f7 f14
co15 f9 fo3
co16 f12 fo3
co17 f2 fo2
co18 fo1 fo3
co19 fo3 f11
co20 f4 f1
co21 f13 fo1
co22 fo2 f7
co23 f11 f4
co24 f2 fo2
co25 f13 fo1
co26 f9 fo3
co27 f4 f1
co28 f3 f9
co29 fo2 f7
co30 f3 f9
co31 f4 f1
co32 fo2 fo3
co33 f7 f14
