// TIME (s),,,,,
// rb1,,,,,
False positive,268,268,0,0,0
True positive,13,13,14,14,14
True negative,19,19,238,284,284
False negative,0,0,46,0,0
accuracy ,0.106666667,0.106666667,0.845637584,1,1
precision,0.046263345,0.046263345,1,1,1
recall,1,1,0.233333333,1,1
f1 score,0.088435374,0.088435374,0.378378378,1,1
Max time,0.00007,0.00018,0.00332,0.00324,0.00312
Mean time,0.00002,0.00005,0.00034,0.000365,0.00036
Avg time,1.89E-05,0.0000585,0.000481467,0.0005612,0.000553267
,,,,,
,,,,,
// rb2,,,,,
False positive,277,278,0,0,0
True positive,7,6,9,10,11
True negative,16,16,161,279,287
False negative,0,0,128,9,0
accuracy ,0.076666667,0.073333333,0.570469799,0.969798658,1
precision,0.024647887,0.021126761,1,1,1
recall,1,1,0.065693431,0.526315789,1
f1 score,0.048109966,0.04137931,0.123287671,0.689655172,1
Max time,0.00021,0.00122,0.31086,0.82127,1.6221
Mean time,0.00004,0.00017,0.008665,0.01979,0.020085
Avg time,4.88E-05,0.0002141,0.0183661,0.053344933,0.0691337
,,,,,
,,,,,
// rb3,,,,,
False positive,281,281,0,0,0
True positive,6,6,9,9,10
True negative,13,13,89,213,288
False negative,0,0,199,76,0
accuracy ,0.063333333,0.063333333,0.32996633,0.744966443,1
precision,0.020905923,0.020905923,1,1,1
recall,1,1,0.043269231,0.105882353,1
f1 score,0.040955631,0.040955631,0.082949309,0.191489362,1
Max time,0.00024,0.00128,0.93236,17.41503,979.95256
Mean time,0.00007,0.00029,0.046065,0.18845,0.20529
Avg time,7.86E-05,0.000377267,0.084520333,0.626371667,16.834601
,,,,,
,,,,,
// lrb1,,,,,
False positive,2,2,0,0,0
True positive,3,3,1,3,3
True negative,0,0,0,2,2
False negative,0,0,4,0,0
accuracy ,0.6,0.6,0.2,1,1
precision,0.6,0.6,1,1,1
recall,1,1,0.2,1,1
f1 score,0.75,0.75,0.333333333,1,1
Max time,0.00004,0.00014,0.00032,0.00201,0.00153
Mean time,0.00004,0.00014,0.00022,0.00133,0.0014
Avg time,0.000038,0.000134,0.000256,0.001148,0.001066
,,,,,
,,,,,
// lrb2,,,,,
False positive,5,5,0,0,0
True positive,0,0,0,0,0
True negative,0,0,0,5,5
False negative,0,0,5,0,0
accuracy ,0,0,0,1,1
precision,0,0,1,1,1
recall,1,1,0,1,1
f1 score,1,1,0,1,1
Max time,0.00009,0.00037,0.00155,0.00565,0.00567
Mean time,0.00004,0.00019,0.00075,0.00395,0.00388
Avg time,0.00005,0.000228,0.000812,0.003622,0.00368
,,,,,
,,,,,
// lrb3,,,,,
False positive,3,3,0,0,0
True positive,2,2,0,2,2
True negative,0,0,0,3,3
False negative,0,0,5,0,0
accuracy ,0.4,0.4,0,1,1
precision,0.4,0.4,1,1,1
recall,1,1,0,1,1
f1 score,0.571428571,0.571428571,1,1,1
Max time,0.00005,0.00025,0.0009,0.01037,0.01049
Mean time,0.00004,0.00019,0.00077,0.00473,0.00489
Avg time,0.00004,0.000168,0.000784,0.005322,0.005378
,,,,,
,,,,,
// lrb4,,,,,
False positive,3,3,0,0,0
True positive,2,2,1,2,2
True negative,0,0,0,3,3
False negative,0,0,4,0,0
accuracy ,0.4,0.4,0.2,1,1
precision,0.4,0.4,1,1,1
recall,1,1,0.2,1,1
f1 score,0.571428571,0.571428571,0.333333333,1,1
Max time,0.0001,0.00051,0.0106,0.05708,0.05806
Mean time,0.00008,0.00039,0.00795,0.02092,0.02078
Avg time,0.000076,0.000374,0.00857,0.02853,0.028624
,,,,,
,,,,,
// lrb5,,,,,
False positive,8,9,0,0,0
True positive,2,1,3,4,4
True negative,0,0,0,6,6
False negative,0,0,7,0,0
accuracy ,0.2,0.1,0.3,1,1
precision,0.2,0.1,1,1,1
recall,1,1,0.3,1,1
f1 score,0.333333333,0.181818182,0.461538462,1,1
Max time,0.00018,0.00106,0.01384,0.31537,0.31423
Mean time,0.000105,0.00061,0.009395,0.09496,0.09491
Avg time,0.000105,0.000572,0.009627,0.121329,0.123216
,,,,,
,,,,,
// lrb6,,,,,
False positive,0,0,0,0,0
True positive,0,0,0,0,0
True negative,1,1,0,0,1
False negative,0,0,1,1,0
accuracy ,1,1,0,0,1
precision,1,1,1,1,1
recall,1,1,0,0,1
f1 score,1,1,0,1,1
Max time,0.00001,0.00032,0.00963,0.21228,0.25689
Mean time,0.00001,0.00032,0.00963,0.21228,0.25689
Avg time,0.00001,0.00032,0.00963,0.21228,0.25689
