,User Requirement,Netx Shortest Path (Dijkstra) estimate,A* estimate,Vespa 1 estimate,Vespa 100 estimate,Vespa INF estimate,Netx Shortest Path (Dijkstra) success,A* success,Vespa 1 success,Vespa 100 success,Vespa INF success,Constraint List,Netx Shortest Path (Dijkstra) control List,A star control list,Vespa 1 control list,Vespa 100 control list,Vespa INF control list,ConstraintNodesGroup,Netx Shortest Path (Dijkstra) path,A* path,Vespa 1 path,Vespa 100 path,Vespa INF path,Netx Shortest Path (Dijkstra) path length,A* path length,Vespa 1 path length,Vespa 100 path length,Vespa INF path length,Netx Shortest Path (Dijkstra) runtime,A* runtime,Vespa 1 runtime,Vespa 100 runtime,Vespa INF runtime,Num Of Graph,Failures caused by Leakage Vespa 1,Failures caused by Leakage Vespa 100,Failures caused by Leakage Vespa INF,Leakage port in Vespa 1,Leakage port in Vespa 100,Leakage port in Vespa INF
lrb1|benchmark1_1,"[['f1'], ['f4']]",1,1,0,0,0,0,0,23,2,2,"[[1, 'v1'], [2, 'v2', 'v3'], [1, 'v6'], [1, 'v7']]","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']",[],[],[],"[['v1', 'c1'], ['v2', 'c2'], ['v3', 'c3'], ['v6', 'c6'], ['v7', 'c7']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]",[],[],[],14,14,-1,-1,-1,0.00004,0.00012,0.0003,0.00034,0.00034,3,0,0,0,[],[],[]
lrb1|benchmark2_1,"[['f1'], ['f4']]",1,1,0,1,1,1,1,3,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v4'], [1, 'v6']]","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']",[],"['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","['v1', 'v7', 'v8', 'c1', 'c7', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v6', 'c6'], ['v4', 'c4']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]",[],"[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]","[['f1', 'fo1', 'fo2', 'fo3', 'fo10', 'fo11', 'fo12', 'f4']]",14,14,-1,14,14,0.00003,0.00013,0.00022,0.00201,0.00153,9,0,0,0,[],[],[]
lrb1|benchmark3_1,"[['f2'], ['f4']]",1,1,0,1,1,1,1,3,1,1,"[[2, 'v2', 'v1'], [2, 'v7', 'v6'], [1, 'v4'], [1, 'v7']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']",[],"['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v6', 'c6'], ['v4', 'c4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]",[],"[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]",18,18,-1,18,18,0.00004,0.00014,0.00022,0.00154,0.0015,9,0,0,0,[],[],[]
lrb1|benchmark4_1,"[['f2'], ['f4']]",1,1,0,0,0,0,0,23,2,2,"[[2, 'v2', 'v1'], [2, 'v8', 'v6'], [1, 'v4'], [1, 'v6']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']",[],[],[],"[['v2', 'c2'], ['v1', 'c1'], ['v8', 'c8'], ['v6', 'c6'], ['v4', 'c4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]",[],[],[],18,18,-1,-1,-1,0.00004,0.00014,0.00022,0.00133,0.0014,9,0,0,0,[],[],[]
lrb1|benchmark5_1,"[['f2'], ['f4']]",1,1,1,1,1,1,1,1,1,1,"[[2, 'v2', 'v1'], [1, 'v7'], [1, 'v3']]","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","['v2', 'v5', 'v6', 'v8', 'c2', 'c5', 'c6', 'c8']","[['v2', 'c2'], ['v1', 'c1'], ['v7', 'c7'], ['v3', 'c3']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]","[['f2', 'fo4', 'fo5', 'fo7', 'fo8', 'fo9', 'fo10', 'fo11', 'fo12', 'f4']]",18,18,18,18,18,0.00004,0.00014,0.00032,0.00052,0.00056,3,0,0,0,[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
