v1 f2 f41
v2 f37 f26
v3 fo37 fo33
v4 f50 f62
v5 f27 fo45
v6 f13 fo47
v7 fo25 fo45
v8 fo45 f44
v9 fo31 f72
v10 f62 fo48
v11 f55 fo9
v12 fo43 fo22
v13 fo9 f67
v14 fo36 fo27
v15 f24 fo24
v16 f70 fo35
v17 fo16 f34
v18 f10 f5
v19 f5 fo21
v20 fo16 f34
v21 f29 f17
v22 f28 fo6
v23 f1 f24
v24 f74 f2
v25 f21 f20
v26 f63 f15
v27 f66 f48
v28 f14 fo47
v29 fo13 fo44
v30 f42 f10
v31 fo20 f57
v32 f26 fo23
v33 fo1 fo28
v34 f6 fo36
v35 fo30 fo15
v36 f5 fo21
v37 f30 f9
v38 f1 f24
v39 f60 f33
v40 f17 fo37
v41 fo2 f42
v42 fo48 f26
v43 f15 fo19
co1 f41 f25
