v1 fo22 fo1
v2 f31 fo12
v3 f23 f10
v4 f71 f74
v5 f67 fo6
v6 fo6 f14
v7 f70 f9
v8 fo20 fo21
v9 f6 fo5
v10 f74 fo13
v11 f65 f42
v12 f6 fo16
v13 f5 fo16
v14 f8 fo24
v15 f3 fo22
v16 f25 fo18
v17 fo14 f39
v18 f34 fo16
v19 f20 f14
v20 f37 fo23
v21 f63 fo13
v22 f76 f59
v23 f73 fo24
v24 f44 fo3
v25 f4 fo20
v26 f63 fo13
v27 f60 f35
v28 f23 f10
v29 fo1 fo10
v30 f61 f37
v31 f20 f14
v32 fo2 fo22
v33 f69 fo13
v34 f27 fo3
v35 f74 fo13
v36 fo9 fo6
v37 f33 f73
v38 fo15 fo7
v39 f2 fo14
v40 f75 f70
v41 fo19 f58
v42 f9 f11
v43 f70 f9
v44 fo7 f21
v45 f27 fo3
v46 f29 fo2
v47 f35 f64
v48 f19 fo6
v49 fo25 f41
v50 f74 fo13
v51 f47 fo16
v52 fo12 f20
v53 f11 f18
v54 fo10 f22
v55 f47 fo16
v56 f3 fo22
v57 f72 fo2
v58 f11 f18
v59 fo7 f21
v60 f45 fo17
v61 f46 f74
v62 fo11 fo23
v63 f20 f14
v64 f5 fo16
v65 fo10 f22
v66 fo10 f22
v67 fo19 f58
v68 f60 f35
v69 f57 f24
v70 f56 f4
v71 fo15 fo7
v72 f2 fo14
co1 fo10 f22
co2 f58 f60
co3 f20 f14
co4 f27 fo3
co5 f64 fo18
co6 f65 f42
co7 fo23 fo19
co8 f53 fo11
co9 f35 f64
co10 f48 fo14
co11 fo25 f41
co12 f13 fo11
co13 fo4 fo9
co14 f40 fo10
co15 fo4 fo17
